aboard|type|cn / ln|date|fatalities|flight #|ground|location|operator|registration|route|summary|time
8   (passengers:6  crew:2)|Antonv An-28|1AJ007-10|May 15, 2010|8   (passengers:6  crew:2)|?|0|Near Poeketi, Suriname|Blue Wings Airlines|PZ-TSV|Godo Holo Air Strip - Paramaribo|The plane crashed during poor weather into a forest ,10 minutes after taking off from Godo Olo Air Strip.|1510
44   (passengers:38  crew:6)|Antonv An-24B|27307903|May 17, 2010|44   (passengers:38  crew:6)|?|0|Salang pass, Afghanistan|Pamir Airlines|YA-PIS|Kunduz - Kabul|The plane crashed in Salang pass, 60 miles north of Kabul. Weather was poor in the general area. It was reported that an early ground proximity warning system was misunderstood by the crew, either due to language problems or because of previous false alerts|0930
166   (passengers:160  crew:6)|Boeing 737-8HG|36333/2481|May 22, 2010|159   (passengers:153  crew:6)|812|0|Mangalore, India|Air India Express|VT-AXV|Dubai, UAE - Mangalore, India|While attempting to land at Mangalore Airport, the plane overran the runway, slid down a ravine into a wooded valley, and burst into flames. Despite being warned by the aircraft computers to "pull up, the captain did not heed the warning. He also ignored the co-pilot telling him to go-around,|0610
11   (passengers:9  crew:2)|CASA 212 Aviocar|151|June 19, 2010|11   (passengers:9  crew:2)|?|0|Yangadou, Cameroon|Aero Service|TN-AFA|Yaoundé-Nsimalen - Yangadou Mine Airstrip|The plane crashed in a remote area on the Cameroon / Congo border. The plane was carrying executives of the mining company Sundance Resources.|1000
7   (passengers:5  crew:2)|Beechcraft A100 King Air|B-164|June 23, 2010|7   (passengers:5  crew:2)|201|0|Quebec, Canada|Aéropro|C-FGIN|Quebec -Sept-Îles|The pilot reported a problem with his right engine after take off and tried to return for an emergency landing but crashed into a private field and exploded, approximately 1 mile north of Jean-Lesage International Airport. The aircraft took off with reduced engine power not recommended by the manufacturer. Once the right engine stopped working, the pilots didn't rotate the engine's blades to be parallel with the flow of air, a procedure called feathering that helps to reduce drag. The crew were not properly trained for emergencies, and mechanical defects were not being logged. The company’s license was revoked.|0559
14   (passengers:10  crew:4)|Antonov AN-2|1G194-53|July 05, 2010|12   (passengers:?  crew:3)|?|0|Tuzla, Romania|Military - Romainian Air Force|53|Tuzla - Tuzla|The military plane, on parachuting training flight, crashed 2 km from the airport  into a field shortly after taking off. Operational errors upon take-off most likely caused the accident.|1740
152   (passengers:146  crew:6)|Airbus A321-231|1218|July 28, 2010|152   (passengers:146  crew:6)|202|0|Islamabad, Pakistan|Airblue|AP-BJB|Karachi - Islamabad|The passenger plane crashed in the Margalla hills while attempting to land at Benazir Bhutto International Airport. The tower lost contact with the plane as it was about to land in poor weather conditions. Controlled Flight into Terrain, in which aircrew failed to display superior judgment and professional skills in a self created unsafe environment. In their pursuit to land in inclement weather, they committed serious violations of procedures and breaches of flying discipline, which put the aircraft in an unsafe condition over dangerous terrain at low altitude.|0945
4   (passengers:0  crew:4)|McDonnell Douglas C-17A Globemaster III|P-73|July 28, 2010|4   (passengers:0  crew:4)|?|0|Near Elmendorf AFB, Alaska|Military - US Air Force|00-0173|Practice maneuvers|The cargo plane took off from runway 6 to practice for upcoming maneuvers. After the initial climb, the pilot made a sharp right turn. As the aircraft banked, the stall warning system activated . Instead of implementing stall recovery procedures, the pilot continued the turn as planned and the aircraft entered a stall from which recovery was not possible. The aircraft impacted a wooded area northwest of the airfield.|1822
3   (passengers:0  crew:3)|Fairchild C-123K|20158|August 01, 2010|3   (passengers:0  crew:3)|?|0|Near Denali National Park, Alaska|All West Freight|N709RR|Palmer-Wolf - Unalakleet|The cargo plane crashed into Mount Healy while en route. The pilot's failure to maintain adequate airspeed to avoid a low altitude stall, resulting in a loss of control and collision with terrain.|1515
15   (passengers:12  crew:3)|Antonov An-24 V|47310003|August 03, 2010|12   (passengers:11  crew:1)|KYU9357|0|Igarka, Russia|Katekavia Airline|RA-46524|Karsnoyarsk - Igarka|The plane crashed while on approach to Igarka Airport in adverse weather conditions. Crew tried to land in below weather minimums. Execution of an approach in conditions worse than the weather minima of the airfield, aircraft, and pilot. The failure of the crew to take a timely decision for a missed approach when the plane descended below the minimum safe height in the absence of reliable visual contact with approach lights and runway lights. This caused the aircraft to strike trees and the ground in controlled flight.|0119
9   (passengers:8  crew:1)|de Havilland Canada DH-3T Otter|206|August 09, 2010|5   (passengers:4  crew:1)|?|0|Near Dillingham, Alaska|GCI Communications Corp.|N455A|Lake Nerka - Nushagak River|The floatplane, carrying passengers to a fishing site crashed into a brush and rock covered mountainside in light rain and fog. Former Alaska U.S. Senator, Ted Stevens, was among those killed.The NTSB found the probable cause to be the pilot’s temporary unresponsiveness for reasons that could not be established from the available information. There was no mechanical problem with the plane and that weather was not likely a factor in the crash.|1445
131   (passengers:125  crew:6)|Boeing B-737-73V|32416/1270|August 16, 2010|2   (passengers:2  crew:0)|?|0|San Andreas Island, Colombia|AIRES Colombia|HK-4882|Bogota - San Andreas Island|The airliner crashed onto the runway and broke in two during a major storm. One hundred twenty four people were injured. One passenger died of a heart attack and a 11- year-old girl died later of head injuries. Execution of the flight below the angle of approach, due to a misjudgment of the crew, believing to be much higher, leading the aircraft to fly a typical trajectory of a 'black hole' illusion, which was experienced during the night-time approach to a runway with low contrast surrounded in bright focused lights, aggravated by bad weather of heavy rain.|0149
4   (passengers:3  crew:1)|de Havilland Canada DHC-2 Beaver|441|August 21, 2010|4   (passengers:3  crew:1)|?|0|Off Kaminshak Bay, Alaska|Branch River Air Service|N9313Z|Swikshak Lagoon - King Salmon|Crashed in the water off Katmai National Park. Only fragments of the plane were foud. No bodies were ever found. The probable cause was undetermined.|1412
14   (passengers:11  crew:3)|Dornier 228-101|0732|August 24, 2010|14   (passengers:11  crew:3)|101|0|Bastipur, Nepal|Agni Air|9NAHE|Kathmandu - Lukla|The crew decided to divert to Simara Airport due to poor weather conditions at Kathmandu. Contact with ATC was lost when the plane crashed into a hillside at 9,000 ft., 20 miles SSW of Kathmandu. The crew members became disoriented after they lost contact with the ATC due to failure of both generators and the exhaustion of the backup battery.|0730
96   (passengers:91  crew:5)|Embraer ERJ-190-100LR|19000223|August 24, 2010|44   (passengers:41  crew:3)|?|0|Yichun, China|Henan Airlines|B-3130|Harbin - Yichun|The plane overshot the runway while landing and burst into flames. The pilot violated aviation rules during the descent, did not locate the runway before landing and abandoned the crashed aircraft.|2210
20   (passengers:17  crew:3)|Let 410UVP-E|912608|August 25, 2010|19   (passengers:16  crew:3)|?|0|Bandundu, Congo Democratic Republic|Filair|9Q-CCN|Kinshasa - Bandundu|The plane crashed 2km from the airstirp and impacted a house as it attempted to land following a go-around. A passenger brought aboard a crocodile hidden in a sports bag. The crocodile escaped, causing a panic among passengers who all rushed to one end of the plane. This caused an imbalance in the aircraft which led to loss of control and a crash.|1300
10   (passengers:?  crew:?)|Mi 17V-5|?|August 27, 2010|10   (passengers:?  crew:?)|?|0|Buena Vista, Venezuela|Military - Venezuelan National Guard|GN10139|Buena Vista - Cararabo|The helicopter crashed while taking off on a counter-drug mission, killing all 10 soldiers on board. They were searching for a group of suspected drug traffickers in southwestern Apure state.|?
2   (passengers:0  crew:2)|Boeing B747-44AF|35668/1393|September 03, 2010|2   (passengers:0  crew:2)|006|0|Dubai, United Arab Emirates|United Parcel Service- UPS|N571UP|Dubai - Bonn, Germany|The cargo plane crashed 10 km North of Dubai Airport shortly after taking off. The plane was attempting to return to the airport when the accident happened. The data recorder indicated there was smoke or fire coming from the cargo area. The cargo plane's pilots struggled to see their primary flight instrument displays as thick smoke filled the cockpit. The pilots could  not manually control the plane’s elevation and direction, probably because cables running above the likely location of a cargo fire lost tension. The fire began near where a shipment of lithium batteries were stored.|19:39
9   (passengers:8  crew:1)|Fletcher FU-24-954|281|September 04, 2010|9   (passengers:8  crew:1)|?|0|Fox Glacier Airstrip|Sky Dive New Zealand|ZK-EUF|Fox Glacier Airstrip - Fox Glacier Airstrip|Seconds after taking off from Fox Glacier airstrip, the aircraft crashed and burned in a field. Investigators blamed an overloaded plane and too much weight towards the back of the plane.|0115
51   (passengers:47  crew:4)|ATR 42-320|371|September 13, 2010|17   (passengers:14  crew:3)|2350|0|Puerto Ordaz, Venezuela|Conviasa Airline|YV-1010|Porlamar - Puerto Ordaz|While en route, the passenger plane crashed and burned in a storage yard of a steel foundry, six miles SE of Puerto Ordaz Airport, after the pilot reported having problems controlling the aircraft.|1032
13   (passengers:?  crew:?)|Sikorsky UH-60 Black Hawk|?|September 21, 2010|10   (passengers:?  crew:?)|?|0|Chopan district, Zabul Province, Afghanistan|International Security Assistance Force|93-26517|?|The military helicopter crashed while en route. There were no reports of enemy fire prior to the accident.|?
28   (passengers:?  crew:?)|Mi-8|?|October 06, 2010|28   (passengers:?  crew:?)|?|0|Rasht Valley, Tajikistan|Military - Tajik National Guard|?|?|The military helicopter crashed after hitting power lines.|?
8   (passengers:0  crew:8)|Lockheed L-100 Hercules|4362|October 12, 2010|8   (passengers:0  crew:8)|?|0|Near Kabul, Afghanistan|National Air Cargo|5X-TUC|Bagram AB - Kabul|The cargo plane crashed into a mountainside about 18 miles east of Kabul Airport.|1950
2   (passengers:0  crew:2)|Let 410UVP|X0101|October 21, 2010|2   (passengers:0  crew:2)|?|0|Near Bugulumisa, Congo|Tracep|9Q-CUA|Bukavu - Shabund|The cargo plane experienced an engine failure 5 minutes after taking off causing the aircraft to crash.|?
68   (passengers:61  crew:7)|ATR-72-212|459|November 04, 2010|68   (passengers:61  crew:7)|883|0|Near Guasimal, Cuba|Aerocaribbean|CU-T1549|Santiago de Cuba- Havana|While the plane was en route, the pilot radioed an emergency message. Contact was lost and the plane crashed into mountainous terrain. All 61 passenger and 7 crew were killed.Icing  in combination with crew errors in handling the situation.|1745
21   (passengers:17  crew:4)|Beechcraft 1900C-1|UC-157|November 05, 2010|21   (passengers:17  crew:4)|?|0|Near Karachi, Pakistan|JS Air|AP-BJD|Karachi - Oil compound in Sindh province|The plane, carrying Italian oil company personne,l suffered an engine failure on climb-out and was attempting to return to the airport when it nose-dived and crashed near a residential area in Gulistan-e-Jauhar.|0710
10   (passengers:?  crew:?)|Mil Mi-8T|7257|November 25, 2010|7   (passengers:?  crew:?)|?|0|Strezhevoy, Russia|NARZ|RA-22376|?|The helicopter, which was delivering workers to a drilling site, crashed and burned while attempting to land, after the tail rotor became entangled in wires.|1207
8   (passengers:0  crew:8)|Ilyushin Il-76TD|43452546|November 28, 2010|8   (passengers:0  crew:8)|4412|4|Karachi, Pakistan|Sun Way|4L-GNI|Karachi - Khartoum|The cargo plane, carrying 31 tons of relief supplies for Sudan, crashed into buildings of the Naval Housing Colony while attempting to return to runway 07R shortly after taking off from Karachi. The cause of the occurrence was uncontained failure of the 2nd stage disk of LP compressor of Engine # 4 due to fatigue fracture which resulted in in-flight fire and damage to adjacent areas of right wing / flaps to an extent that flight could not be sustained.|0153
169   (passengers:160  crew:9)|Tupolev Tu-154M|92A-927|December 04, 2010|2   (passengers:2  crew:0)|372|0|Moscow, Russia|Dagestan Airlines|RA-85744|Moscow -Makhachkala, Dagestan|About 80km out from Moscow, the crew reported losing all three engines, electrical power and navigation equipment. They decided to divert back to Moscow. Visual contact with the ground could not be established until breaking through the overcast at 500 feet. The aircraft landed, skidded off the runway and broke into three pieces. Unintentional shutdown of supply tank booster pumps when the flight engineer carried out manual fuel transfer procedures during the climb, leading to instantaneous oscillation of fuel flow to the engines and their speed, a shut down of the outer engines and power supply problems in the aircraft for 2 minutes 23 seconds due to the failure of three generators. Failure to use all the possibilities by the crew to restore engine power;|1449
22   (passengers:19  crew:3)|de Havilland Canada DHC-6 Twin Otter|806|December 15, 2010|22   (passengers:19  crew:3)|?|0|Palunge Hill, Nepal|Tara Air|9N-AFX|Lamidanda - Kathmandu|The plane crashed into Palunge Hill after its right wing clipped the mountaintop while en route.|1530
124   (passengers:116  crew:8)|Tupolev Tu-154B-2|83A588|January 01, 2011|3   (passengers:3  crew:0)|348|0|Surgut, Russia|Kogalmavia|RA-85588|Surgut - Moscow|The passenger jet caught fire and exploded as it taxied for take off. Three passenger were killed and 43 injured during the evacuation. Electrical short.|1525
105   (passengers:93  crew:12)|Boeing B-727-286|20945/1048|January 09, 2011|77   (passengers:65  crew:12)|277|0|Orumiyeh, Iran|Iran Air|EP-IRP|Tehran - Orumiyeh|The accident happened after the plane was unable to land because of poor weather conditions and was attempting a go-around. The aircraft crashed 5 miles from the Orumiyeh airport in a snowy field..|1945
9   (passengers:7  crew:2)|Pilatus PC-12/47|858|February 08, 2011|9   (passengers:7  crew:2)|?|0|Off Plettenberg Bay, South Africa|Majuba Aviation|ZS-GAA|Queenstown - Plettenberg Bay|When the crew encountered dense fog, limiting visibility, the pilot aborted the landing and was in the process of a go-around when the plane crashed into the sea.|1640
12   (passengers:10  crew:2)|Swearingen SA-227BC Metro III|BC-789B|February 10, 2011|6   (passengers:4  crew:2)|7100|0|Cork, Ireland|Manx2|EC-ITP|Belfast - Cork|The Metroliner made an approach to Runway 17 in low visibility and the crew decided to go-around. A second attempt to land on Runway 35 was also unsuccessful and resulted in another go-around. During a third landing attempt on Runway 17, the aircraft crashed adjacent to Taxiway C and came to rest upside down. A fire soon erupted. Four passenger and both crew members were killed. Improper crew coordination and procedures led to loss of control of the aircraft. A contributing factor was inadequate maintenance causing the two engines to develop unequal thrust.|0945
14   (passengers:12  crew:2)|Let L-410 UVPE-20|912603|February 14, 2011|14   (passengers:12  crew:2)|731|0|Near Santa Ana Francisco Morazan, Honduras|Central American Airways|HR-AUQ|San Pedro Sula - Tegucigalpa|The small airlilner crashed into a hill at an elevation of 2,000 feet while on approach in poor visibility. Windshear.|0802
9   (passengers:5  crew:4)|Antonov 12BP|402006|March 21, 2011|9   (passengers:5  crew:4)|?|14|Pointe-Noire, Congo|Trans Air Cargo|TN-AGK|Brazzaville - Pointe Noire|The cargo plane was approaching Runway 17 at Pointe-Noire Airport when it crashed in the Mvou Mvou residential area and was destroyed.|1530
33   (passengers:29  crew:4)|Canadair CL-600 CRJ-100ER|7070|April 04, 2011|32   (passengers:28  crew:4)|834|0|Kinshasa, Congo|United Nations|4L-GAE|Kisangani - Kinshasa|The plane operated on behalf of the United Nations Organization Stabilization Mission and was leased from Geogian Airways. While attempting to land in rain, thunderstorms and strong winds at Kinshasa, the plane missed the runway and crashed. Twenty eight passengers and crew of 4 were killed. One passenger survived. he inappropriate decision of the crew to continue the approach, in face of extremely inclement weather being displayed on their weather radar. Lack of adequate supervision by the Operator to ensure that its crew complied with established procedures including weather avoidance procedures and stabilized approach criteria.|1330
23   (passengers:?  crew:?)|Mil Mi-172|356C06|April 19, 2011|18   (passengers:?  crew:?)|?|0|Tawang, India|Pawan Hans Helicopters Ltd.|VT-PHF|?|The helicopter crashed into a hill as it attempted to land at a high altitude helipad Six, including the copilot escaped with minor injuries..|1357
7   (passengers:6  crew:1)|Embraer/Piper EMB-810C Seneca|810055|April 21, 2011|7   (passengers:6  crew:1)|?|0|Manaus, Brazil|AmazonavesAir Taxi|PT-EFS|Manaus - Santarem|The airl taxi crashed about one minute after taking off from Manaus Airport.|1452
27   (passengers:21  crew:6)|Xian MA-60|603|May 07, 2011|27   (passengers:21  crew:6)|?|0|Off Kaimana, Indonesia|Merpati Nusantara Airlines|PK-MZK|Sorong - Kaimana|The turboprop had been circling Kaimana Airport for about 15 minutes when it crashed into the sea, 400 meters offshore, in poor weather conditions.|1400
22   (passengers:19  crew:3)|Saab 340A|25|May 18, 2011|22   (passengers:19  crew:3)|5428|0|Near Prahuaniyeu, Argentina|SOL Lineas Aereas|LV-CEJ|Neuquen - Comodoro Rivadavia|The domestic scheduled passenger flight crashed 12.5 miles north of Prahuaniyeu while en route, after transmitting a distress call. All 19 passengers and crew of three aboard were killed. Inadequate flight planning.Inadequate operational decision making on the part of the pilot. Loss of situational awareness from the flight crew.|2053
52   (passengers:43  crew:9)|Tupolev Tu-134|63195/5703|June 20, 2011|47   (passengers:39  crew:8)|7R-243|0|Petrozavodsk, Russia|RusAir Airlines|RA-65691|Moscow - Petrozavodsk|The airliner crashed while on final to Petrozavodsk in heavy fog, landing 1 kilometers short of the runway. The plane soon broke up and caught on fire. Factors in the accident: heavy fog. The crew could not see the runway's ground lights, but did not decide to turn away and make another attempt at landing. The plane hit nearby trees before crashing. Cooperation among the crew during the landing attempt was poor, with the pilot subordinating himself to the navigator and the co-pilot effectively excluded from decisions. The navigator was intoxicated.|2340
9   (passengers:0  crew:9)|Ilyushin76TD|2053420680|July 06, 2011|9   (passengers:0  crew:9)|?|0|Near Bagram Air Base, Afghanistan|Silk Way Airlines|4K-AZ55|Baku, Azerbaijan - Bagram Air Base, Afghanistan|While flying at 12,500 feet, the cargo plane crashed into a mountain peak, exploded and burned about 15 miles from Bagram. The aircraft was loaded with fuel for the International Security Assistance Force in Afghanistan.|2300
115   (passengers:108  crew:7)|Boeing B-727-100|18933|July 08, 2011|77   (passengers:72  crew:5)|952|0|Kisangani, Congo|Hewa Bora Airways|9Q-COP|Kinshasa - Kisangani|The airliner crashed and broke up after missing the runway while attempting to land at Bangoka International Airport. There was heavy rain, thunderstorms and limited visibility at the time of the accident.|1500
37   (passengers:33  crew:4)|Antonov An-24RV|57310302|July 11, 2011|7   (passengers:7  crew:0)|5007|0|Near Strezhevoy, Russia|Angara Airlines|RA-47302|Tomsk - Surgut|After reporting an engine fire in the left engine, the pilot attempted to make an emergency landing at Strezhevoy but ditched into the Orb River. Both pilots were not certified to fly. The captain's license was revoled and the first officer had not finished his requalification exam.|1155
16   (passengers:14  crew:2)|Let L-401UVP-20|2722|July 13, 2011|16   (passengers:14  crew:2)|SP-5007|0|Recife, Brazil|NOAR Linhas Aéreas|PR-NOB|Recife - Natal|The regional airliner had taken off from Runway 18 after which the pilot reported that he wanted to return for an emergency landing. He then stated he was attempting a forced landing on the beach of Boa Viagem but instead the plane crashed into a vacant lot and burst into flames near the beach, 1.2 miles from the runway threshold.|1153
80   (passengers:71  crew:9)|Lockheed C-130 Hercule|4892|July 26, 2011|80   (passengers:71  crew:9)|?|0|Near Guelmim, Morocco|Military - Royal Moroccan Air Force|CNA-OQ|Dakhla - Guelmim - Kinitra|The military transport plane crashed in the mountain, 6 miles northeast of Guelmim in bad weather while attempting to land.|0900
2   (passengers:0  crew:2)|Boeing B-747-48EF|29907/1370|July 28, 2011|2   (passengers:0  crew:2)|991|0|Off Jeju, South Korean|Asiana Airlines|HL-7604|Seoul - Shanghai|The cargo plane crashed into the sea about 70 miles west of Jeju after the crew reported a fire in a cargo hold. The plane was carrying 58 tons of electronic and machine parts, including lithium batteries.|0412
38   (passengers:?  crew:?)|Boeing CH-47 Chinook|?|August 06, 2011|38   (passengers:?  crew:?)|?|0|Tangi Valley, Afghanistan|Military - U.S. Army|?|?|Thirty-eight people, including 31 U.S. special forces troops and 7 Afghan soldiers were killed when their helicopter was shot down with a rocket-propelled grenade during overnight operations against Taliban insurgents.|?
11   (passengers:2  crew:9)|Antonov 12|3341006|August 09, 2011|11   (passengers:2  crew:9)|LN-9209|0|Near Omsukchan, Russia|Avis Amur|RA-11125|Magdan - Keperveem|After leaving Magdan the crew of the cargo plane reported a fuel leak and an engine fire. While trying to return to Magdan, the plane crashed 6 miels from Omsukchan, 190 miles from its original take-off point. The plane carried 18 tons of cargo.|1434
15   (passengers:11  crew:4)|Boeing B-737-210C(A) Combi|21067/414|August 20, 2011|12   (passengers:8  crew:4)|6560|0|Resolute Bay, Nunavut, Canada|First Air|C-GNWN|Yellowknife - Resolute Bay|While on instrument approach and initiating a go-around, the plane hit a hill side 2km east of the runway and broke up into 3 pieces.The crew had initiated the go-around 2 seconds before impact. The late initiation and subsequent management of the descent resulted in the aircraft turning onto final approach 600 feet above the glideslope, increasing the crew’s workload and reducing their capacity to assess and resolve the navigational issues during the remainder of the approach.|1250
4   (passengers:3  crew:1)|Eurocopter AS350B2|3728|August 26, 2011|4   (passengers:3  crew:1)|?|0|Mosby, Missouri|LifeNet|N352LN|Bethany - Mosby|The helicopter was headed for Mosby to refuel when it crashed in a field 1.7 nm north-northeast of Midwest National Air Center. The pilot, nurse, paramedic and patient were all killed.|1900
21   (passengers:17  crew:4)|CASA C-212 Aviocar 300DF|443|September 02, 2011|21   (passengers:17  crew:4)|?|0|Juan Fernandez Island, Chile|Chilean Air Force|966|Santiago - Juan Fernandez Island|The aircraft attempted to land at the airport on two occasions, but strong winds prevented it from landing.The aircraft subsequently crashed into the sea 1 kilometre (1,100 yd) off the island on its third approach. One of those killed was Felipe Camiroaga, the most important TV entertainer in Chile.|1748
9   (passengers:7  crew:2)|Swearingen SA-227BC Metroliner III|BC-768B|September 06, 2011|8   (passengers:6  crew:2)|A4-238|0|Near Trinidad, Bolivia|Aerocon|CP-2548|Santa Cruz - Trinidad, Bolivia|The plane crashed into the jungle while on approach to Runway 14 at Trinidad Airport. After the crew reported they were turning into the final approach, radio contact was lost. The plane was found 2 days later, 10 km from the airport. One passenger survived.|1850
45   (passengers:37  crew:8)|Yakovlev 42D|4520424305017|September 07, 2011|44   (passengers:37  crew:7)|9633|0|Yaroslavl, Russia|YAK Service|RA-42434|Yaroslavl - Minsk|The plane failed to climb after takeoff and crashed into an antenna outside the airport perimeter and came to rest in the Volga River, 1km from the runway. The plane carried the entire Lokomotiv Yaroslavl ice hockey team. Pilot error. Both pilots had experience on the Yak-40 but were assigned to switch between types , contrary to proper practice. They apparently had never learned the correct position for their feet on takeoff. In the Yak-42, and like virtually all other existing Russian and Western planes, a pilot steers the aircraft by pressing the lower part of pedals and activates the brakes by pressing their upper part.But instead of putting his heels on the cockpit floor as required,  One pilot left his feet resting on the pedals, as correct for theYak-40. This applied the brakes, causing a downward pitch force that  prevented the plane from rotating to take off. They made the fatal mistake of failing to abort the takeoff, but kept applying more upward  pitch with the result that when the plane finally left the ground and the downward pitch force stopped, it went into a stall within seconds.|1550
36   (passengers:34  crew:2)|Embraer 120ER Brasilia|120357|September 14, 2011|30   (passengers:30  crew:0)|?|0|Huambo, Angola|Military - FANA Forca Aerea Nacional Angolana|T-500|Huambo - Luanda|The military plane crashed, broke in two and burned while attempting to takeoff from Huambo Airport. Six persons survived including the pilot and copilot.|1200
1   (passengers:0  crew:1)|North American P-51D-15-NA Mustang|109-35934|September 16, 2011|1   (passengers:0  crew:1)|?|10|Reno, Nevada|Private - Aero Trans Corp|N79111|Air race|The pilot of the aircraft participating in an air race lost control and dove into the spectator box seating area disintegrating upon impact. A section of the left elevator trim tab separated in flight. Investigation determined that the looseness of the elevator trim tab attachment screws and a fatigue crack in one of the screws caused a decrease in the structural stiffness of the elevator trim system.|1625
9   (passengers:7  crew:2)|De Havilland Canada DHC-6-300 Twin Otter|367|September 22, 2011|2   (passengers:0  crew:2)|?|0|Yellowknife, Northwest Territories, Canada|Arctic Sunwest Charters|C-GARW|Thor Lake - Great Slave Lake|While coming in for a landing at Great Slave Lake the float plane hit powerlines, two cars and part of a building.  The pilot attempted to abort the landing after an aircraft float dug into the water. A cross-wind flipped the plane on end and it clipped power lines in front of a building, spinning it 90 degrees. The plane then crashed, floats first, into a façade. The fuselage then rotated on the ground and, the floats demolished two vehicles and came to rest in a parking lot facing back the way it had come.|1315
